Sample,Score
KHB019-1-1.1,0
LBN7-1.2,1
Leaf1-1-1.1,0
Leaf151-1-1.1,0
Leaf159-1-1.1,0
Leaf161-1-1.1,0
Leaf171-1-1.1,0
Leaf179-1-1.1,0
Leaf203-1-1.1,0
Leaf288-1-1.1,0
Leaf314-1-1.1,0
Leaf320-1-1.1,0
Leaf436-1-1.1,0
LM3X-1.2,1
LMB2-1.2,1
LMI1-1-1.1,0
LMI11-1-1.1,0
LMI12-1-1.1,0
LMI13-1-1.1,0
LMI1x-1-1.1,0
LMS4-1.2,1
LMX7-1.2,1
LTA6-1.2,1
LWH10-1.2,1
LWH11-1.2,1
LWH12-1.2,1
LWH13-1.2,1
LWH3-1.2,1
LWH7-1.2,1
LWO12-1.2,1
LWO13-1.2,1
LWO14-1.2,1
LWS13-1.2,1
Root1433D1-1-1.1,0
Root166-1-1.1,0
Root280D1-1-1.1,0
Root322-1-1.1,0
Root53-1-1.1,0
Root61-1-1.1,0
